timestamp,price,next_price,predicted_price,price_change_pct,signal,signal_type,confidence,portfolio_value,balance,btc_holdings,executed,total_cost,fee,slippage,effective_price,rsi,buy_score,sell_score,macd_confirmation,volume_confirmation,quality_passed
2025-03-17 14:00:00,82913.03,82913.03,82913.03,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,82913.03,,0.0,0.0,True,False,True
2025-03-17 17:00:00,84197.46,84197.46,84197.46,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84197.46,,0.0,0.0,True,False,True
2025-03-17 20:00:00,83954.36,83954.36,83954.36,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,83954.36,,0.0,0.0,True,False,True
2025-03-17 23:00:00,84010.03,84010.03,84010.03,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84010.03,,0.0,0.0,True,False,True
2025-03-18 02:00:00,83367.64,83367.64,83367.64,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,83367.64,,0.0,0.0,True,False,True
2025-03-18 05:00:00,83010.87,83010.87,83010.87,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,83010.87,41.13320192000248,0.007858969258644205,0.0,True,False,True
2025-03-18 08:00:00,83281.29,83281.29,83281.29,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,83281.29,49.69290578706159,0.0,0.0,True,False,True
2025-03-18 11:00:00,82581.1,82581.1,82581.1,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,82581.1,39.37907178198467,0.029703853137507064,0.0,True,False,True
2025-03-18 14:00:00,81854.71,81854.71,81854.71,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,81854.71,35.84657765822014,0.16204563122373147,0.08000000000000002,True,True,True
2025-03-18 17:00:00,81466.7,81466.7,81466.7,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,81466.7,34.134276007005255,0.12257419889083476,0.0,True,False,True
2025-03-18 20:00:00,82050.0,82050.0,82050.0,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,82050.0,43.700474561354504,0.0,0.0,True,False,True
2025-03-18 23:00:00,82715.03,82715.03,82715.03,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,82715.03,52.534787721928645,0.0,0.0,True,False,True
2025-03-19 02:00:00,82868.91,82868.91,82868.91,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,82868.91,53.44823262471536,0.0,0.0,True,False,True
2025-03-19 05:00:00,83241.99,83241.99,83241.99,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,83241.99,57.449935178166115,0.0,0.0,True,False,True
2025-03-19 08:00:00,83413.01,83413.01,83413.01,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,83413.01,59.428208664982414,0.0,0.02380347774970689,True,False,True
2025-03-19 11:00:00,83881.4,83881.4,83881.4,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,83881.4,64.64699128604448,0.1,0.21078318810074137,True,True,True
2025-03-19 14:00:00,84318.59,84318.59,84318.59,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84318.59,68.20229107072373,0.11000000000000001,0.29704200296326844,True,True,True
2025-03-19 17:00:00,84230.97,84230.97,84230.97,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84230.97,61.93040855277406,0.11000000000000001,0.18205749013419112,True,True,True
2025-03-19 20:00:00,85353.99,85353.99,85353.99,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,85353.99,69.00782430105517,0.0,0.2018101121860114,True,False,True
2025-03-19 23:00:00,86845.94,86845.94,86845.94,0,SELL,strong,0.58852320468593,100000.0,100000.0,0.0,False,0.0,0.0,0.0,86845.94,78.10126571014163,0.0,0.58852320468593,False,False,True
2025-03-20 02:00:00,86065.51,86065.51,86065.51,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,86065.51,65.421626132421,0.0,0.1360631457610516,True,False,True
2025-03-20 05:00:00,85827.28,85827.28,85827.28,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,85827.28,61.474034464641086,0.0,0.06369063185175323,True,False,True
2025-03-20 08:00:00,86241.05,86241.05,86241.05,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,86241.05,65.10625771125305,0.0,0.1302813913729726,True,False,True
2025-03-20 11:00:00,85502.17,85502.17,85502.17,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,85502.17,53.80769381166196,0.0,0.0,True,False,True
2025-03-20 14:00:00,86171.86,86171.86,86171.86,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,86171.86,60.44260051821178,0.11000000000000001,0.15478100950054938,True,True,True
2025-03-20 17:00:00,84093.43,84093.43,84093.43,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84093.43,41.37672645923483,0.009712679343590548,0.0,True,False,True
2025-03-20 20:00:00,84530.1,84530.1,84530.1,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84530.1,46.22044129059952,0.0,0.0,True,False,True
2025-03-20 23:00:00,84223.39,84223.39,84223.39,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84223.39,43.731205802051264,0.0,0.0,True,False,True
2025-03-21 02:00:00,84685.4,84685.4,84685.4,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84685.4,49.20918368895488,0.0,0.0,True,False,True
2025-03-21 05:00:00,84469.66,84469.66,84469.66,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84469.66,46.886559008144985,0.0,0.0,True,False,True
2025-03-21 08:00:00,84022.32,84022.32,84022.32,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84022.32,42.22275236464842,0.0,0.0,True,False,True
2025-03-21 11:00:00,84046.52,84046.52,84046.52,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84046.52,42.88874480335568,0.0,0.0,True,False,True
2025-03-21 14:00:00,84240.33,84240.33,84240.33,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84240.33,48.24857226083856,0.1,0.1,True,True,True
2025-03-21 17:00:00,84024.11,84024.11,84024.11,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84024.11,46.82663674301764,0.0,0.0,True,False,True
2025-03-21 20:00:00,84216.2,84216.2,84216.2,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84216.2,49.6844635972724,0.0,0.0,True,False,True
2025-03-21 23:00:00,84088.79,84088.79,84088.79,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84088.79,47.78926168318958,0.0,0.0,True,False,True
2025-03-22 02:00:00,84188.96,84188.96,84188.96,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84188.96,49.495278712678385,0.0,0.0,True,False,True
2025-03-22 05:00:00,84323.3,84323.3,84323.3,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84323.3,51.666644142439516,0.0,0.0,True,False,True
2025-03-22 08:00:00,84222.01,84222.01,84222.01,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84222.01,49.45164932237256,0.0,0.0,True,False,True
2025-03-22 11:00:00,84239.25,84239.25,84239.25,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84239.25,49.40988880707533,0.0,0.0,True,False,True
2025-03-22 14:00:00,84007.23,84007.23,84007.23,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84007.23,43.777070251103,0.0,0.0,True,False,False
2025-03-22 17:00:00,84238.83,84238.83,84238.83,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84238.83,50.47917904143348,0.0,0.0,True,False,False
2025-03-22 20:00:00,83944.69,83944.69,83944.69,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,83944.69,42.06462776841416,0.0,0.0,True,False,False
2025-03-22 23:00:00,83840.59,83840.59,83840.59,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,83840.59,39.76668623991217,0.08782201344093687,0.06400000000000002,True,True,False
2025-03-23 02:00:00,84233.78,84233.78,84233.78,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84233.78,53.06145020581432,0.0,0.0,True,False,False
2025-03-23 05:00:00,84230.1,84230.1,84230.1,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84230.1,52.77572592054741,0.0,0.0,True,False,False
2025-03-23 08:00:00,84347.12,84347.12,84347.12,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84347.12,56.635014569410096,0.0,0.0,True,False,False
2025-03-23 11:00:00,84679.99,84679.99,84679.99,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84679.99,66.10765975102586,0.06400000000000002,0.15048170401094255,True,True,False
2025-03-23 14:00:00,84899.76,84899.76,84899.76,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,84899.76,66.16552522204094,0.08000000000000002,0.18887366962721255,True,True,False
2025-03-23 17:00:00,85017.66,85017.66,85017.66,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,85017.66,63.57697336223248,0.08800000000000002,0.16979560931274304,True,True,True
2025-03-23 20:00:00,85102.62,85102.62,85102.62,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,85102.62,64.83927991771367,0.0,0.10030943879313381,True,False,False
2025-03-23 23:00:00,86082.5,86082.5,86082.5,0,SELL,strong,0.575776692442827,100000.0,100000.0,0.0,False,0.0,0.0,0.0,86082.5,79.25750175746548,0.08800000000000002,0.575776692442827,False,True,True
2025-03-24 02:00:00,85883.16,85883.16,85883.16,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,85883.16,67.5261747857599,0.0,0.17464653773893163,True,False,True
2025-03-24 05:00:00,86899.73,86899.73,86899.73,0,SELL,strong,0.6819349056412743,100000.0,100000.0,0.0,False,0.0,0.0,0.0,86899.73,77.19644939861496,0.11000000000000001,0.6819349056412743,False,True,True
2025-03-24 08:00:00,87416.35,87416.35,87416.35,0,SELL,strong,0.6788711303629678,100000.0,100000.0,0.0,False,0.0,0.0,0.0,87416.35,77.0293343834346,0.11000000000000001,0.6788711303629678,False,True,True
2025-03-24 11:00:00,87689.52,87689.52,87689.52,0,SELL,strong,0.5093161840812653,100000.0,100000.0,0.0,False,0.0,0.0,0.0,87689.52,73.78088276806902,0.0,0.5093161840812653,True,False,True
2025-03-24 14:00:00,87961.9,87961.9,87961.9,0,SELL,strong,0.5853737298538118,100000.0,100000.0,0.0,False,0.0,0.0,0.0,87961.9,71.92947617384428,0.11000000000000001,0.5853737298538118,True,True,True
2025-03-24 17:00:00,88461.88,88461.88,88461.88,0,SELL,strong,0.48081742605147776,100000.0,100000.0,0.0,False,0.0,0.0,0.0,88461.88,72.22640505735333,0.0,0.48081742605147776,True,False,True
2025-03-24 20:00:00,87832.0,87832.0,87832.0,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,87832.0,60.78549647228626,0.0,0.051067435325248135,True,False,True
2025-03-24 23:00:00,87498.16,87498.16,87498.16,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,87498.16,54.33999240990536,0.0,0.0,True,False,True
2025-03-25 02:00:00,86854.94,86854.94,86854.94,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,86854.94,45.6676693680904,0.0,0.0,True,False,True
2025-03-25 05:00:00,86656.07,86656.07,86656.07,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,86656.07,44.028295978824545,0.0,0.0,True,False,True
2025-03-25 08:00:00,86714.79,86714.79,86714.79,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,86714.79,46.0964422467635,0.0,0.0,True,False,True
2025-03-25 11:00:00,87370.43,87370.43,87370.43,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,87370.43,55.53605042318833,0.0,0.0,True,False,True
2025-03-25 14:00:00,88022.4,88022.4,88022.4,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,88022.4,62.2790587708999,0.11000000000000001,0.18844941079983152,True,True,True
2025-03-25 17:00:00,87937.27,87937.27,87937.27,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,87937.27,60.22050433032146,0.0,0.040709246055893454,True,False,True
2025-03-25 20:00:00,87849.98,87849.98,87849.98,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,87849.98,56.9866812848168,0.11000000000000001,0.11000000000000001,True,True,True
2025-03-25 23:00:00,87392.87,87392.87,87392.87,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,87392.87,49.42015449971472,0.0,0.0,True,False,True
2025-03-26 02:00:00,87324.6,87324.6,87324.6,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,87324.6,47.87719102948389,0.0,0.0,True,False,True
2025-03-26 05:00:00,87520.35,87520.35,87520.35,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,87520.35,51.36948399161016,0.0,0.0,True,False,True
2025-03-26 08:00:00,87959.73,87959.73,87959.73,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,87959.73,56.58702054513866,0.0,0.0,True,False,True
2025-03-26 11:00:00,87954.96,87954.96,87954.96,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,87954.96,55.18521844553471,0.1,0.1,True,True,True
2025-03-26 14:00:00,86773.14,86773.14,86773.14,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,86773.14,38.68376457665159,0.15527059038914015,0.1,True,True,True
2025-03-26 17:00:00,86569.99,86569.99,86569.99,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,86569.99,36.87648853102321,0.0725830791438378,0.0,True,False,True
2025-03-26 20:00:00,87280.0,87280.0,87280.0,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,87280.0,50.73133857650175,0.0,0.0,True,False,True
2025-03-26 23:00:00,86909.17,86909.17,86909.17,0,HOLD,regular,0.5,100000.0,100000.0,0.0,False,0.0,0.0,0.0,86909.17,46.153494546526964,0.0,0.0,True,False,True
